epoch,train_loss,val_loss,train_mae,val_mae
1,0.001469,0.000487,0.020936,0.013250
2,0.000344,0.000231,0.011735,0.008949
3,0.000227,0.000250,0.009454,0.008642
4,0.000188,0.000179,0.008252,0.009303
5,0.000142,0.000164,0.007356,0.007329
6,0.000125,0.000128,0.006897,0.007117
7,0.000119,0.000111,0.006769,0.006173
8,0.000122,0.000175,0.006629,0.007737
9,0.000119,0.000089,0.006571,0.005657
10,0.000104,0.000087,0.006039,0.005630
11,0.000094,0.000086,0.005854,0.005426
12,0.000091,0.000084,0.005669,0.005675
13,0.000094,0.000131,0.005708,0.006397
14,0.000098,0.000138,0.006016,0.007745
15,0.000112,0.000255,0.006078,0.007503
16,0.000107,0.000092,0.005992,0.005743
17,0.000079,0.000092,0.005282,0.005891
18,0.000080,0.000084,0.005316,0.005910
19,0.000091,0.000075,0.005558,0.005291
20,0.000098,0.000087,0.005747,0.005986
21,0.000090,0.000104,0.005587,0.005862
22,0.000091,0.000109,0.005384,0.006364
23,0.000118,0.000154,0.006147,0.007169
24,0.000081,0.000139,0.005234,0.006174
25,0.000083,0.000086,0.005355,0.005427
26,0.000077,0.000073,0.005070,0.004881
27,0.000081,0.000099,0.005144,0.005405
28,0.000110,0.000157,0.005793,0.006323
29,0.000074,0.000098,0.004977,0.005448
30,0.000074,0.000088,0.004956,0.005444
31,0.000069,0.000071,0.004789,0.004869
32,0.000072,0.000081,0.004912,0.005053
33,0.000084,0.000076,0.005159,0.004878
34,0.000070,0.000071,0.004782,0.004887
35,0.000072,0.000078,0.004892,0.004907
36,0.000083,0.000078,0.005196,0.005305
37,0.000087,0.000073,0.005254,0.005096
38,0.000080,0.000073,0.005167,0.004973
39,0.000071,0.000073,0.004782,0.004889
40,0.000091,0.000075,0.005357,0.004700
41,0.000072,0.000078,0.004759,0.005318
42,0.000082,0.000079,0.005126,0.005440
43,0.000068,0.000074,0.004760,0.004802
44,0.000077,0.000123,0.004965,0.005884
45,0.000074,0.000082,0.004967,0.005382
46,0.000079,0.000073,0.005072,0.004810
47,0.000066,0.000076,0.004672,0.004973
48,0.000070,0.000090,0.004746,0.004862
49,0.000082,0.000080,0.005224,0.005079
50,0.000074,0.000075,0.004827,0.004830
